"","yes","not","age","year","yards","tds","att","comp","playoff_games","playoff_wins","pb_games"
"1","AikmTr00",1,24,1989,1749,9,293,155,0,0,0
"2","AikmTr00",2,25,1990,4328,20,692,381,0,0,0
"3","AikmTr00",3,26,1991,7082,31,1055,618,0,0,1
"4","AikmTr00",4,27,1992,10527,54,1528,920,3,3,2
"5","AikmTr00",5,28,1993,13627,69,1920,1191,6,6,3
"6","AikmTr00",6,29,1994,16303,82,2281,1424,8,7,4
"7","AikmTr00",7,30,1995,19607,98,2713,1704,11,10,5
"8","AikmTr00",8,31,1996,22733,110,3178,2000,13,11,6
"9","AikmTr00",9,32,1997,26016,129,3696,2292,13,11,6
"10","AikmTr00",10,33,1998,28346,141,4011,2479,14,11,6
"11","AikmTr00",11,34,1999,31310,158,4453,2742,15,11,6
"12","AikmTr00",12,35,2000,32942,165,4715,2898,15,11,6
"13","AlbeFr00",1,31,1950,1767,14,306,155,0,0,1
"14","AlbeFr00",2,32,1951,2883,19,472,245,0,0,1
"15","AlbeFr00",3,33,1952,3847,27,601,316,0,0,1
"16","AlleJo02",1,23,2018,2074,10,320,169,0,0,0
"17","AlleJo02",2,24,2019,5163,30,781,440,1,0,0
"18","AlleJo02",3,25,2020,9707,67,1353,836,4,2,1
"19","AlleJo02",4,26,2021,14114,103,1999,1245,6,3,2
"20","AlleKy00",1,23,2018,266,2,31,20,0,0,0
"21","AlleKy00",2,24,2019,3588,19,520,323,0,0,0
"22","AlleKy00",3,25,2020,4198,23,607,383,0,0,0
"23","AlleKy00",4,26,2021,4318,24,626,395,0,0,0
"24","AndeDe00",1,24,2006,793,5,117,66,0,0,0
"25","AndeDe00",2,25,2007,4580,34,644,364,0,0,1
"26","AndeDe00",3,26,2008,6195,43,927,506,0,0,1
"27","AndeDe00",4,27,2009,7083,46,1109,587,0,0,1
"28","AndeDe00",5,28,2010,9148,53,1436,756,0,0,1
"29","AndeDe00",6,29,2011,9148,53,1436,756,0,0,1
"30","AndeDe00",7,30,2012,9206,53,1440,760,0,0,1
"31","AndeDe00",8,31,2013,9206,53,1440,760,0,0,1
"32","AndeDe00",9,32,2014,9907,58,1537,825,0,0,1
"33","AndeDe00",10,33,2015,9943,58,1543,829,0,0,1
"34","AndeDe00",11,34,2016,10396,60,1596,865,0,0,1
"35","AndeDe00",12,35,2017,10413,60,1604,867,0,0,1
"36","AndeDe00",13,36,2018,10878,60,1674,909,0,0,1
"37","AndeKe00",1,23,1971,777,5,131,72,0,0,0
"38","AndeKe00",2,24,1972,2695,12,432,243,0,0,0
"39","AndeKe00",3,25,1973,5123,30,761,422,1,0,0
"40","AndeKe00",4,26,1974,7790,48,1089,635,1,0,0
"41","AndeKe00",5,27,1975,10959,69,1466,863,2,0,1
"42","AndeKe00",6,28,1976,13326,88,1804,1042,2,0,2
